iter	Passed	Remaining
0	7	7811
1	13	6733
2	18	6080
3	24	6197
4	28	5707
5	32	5371
6	36	5123
7	43	5447
8	54	6036
9	61	6120
10	67	6037
11	91	7502
12	97	7364
13	104	7326
14	109	7176
15	113	7008
16	120	6959
17	127	6969
18	165	8545
19	168	8236
20	173	8094
21	183	8156
22	188	8020
23	194	7927
24	207	8085
25	232	8722
26	241	8720
27	253	8786
28	270	9043
29	289	9365
30	297	9293
31	308	9341
32	320	9393
33	324	9208
34	348	9620
35	354	9488
36	358	9324
37	381	9649
38	387	9551
39	403	9685
40	414	9701
41	419	9560
42	439	9770
43	450	9784
44	453	9631
45	468	9706
46	471	9555
47	490	9736
48	502	9754
49	515	9785
50	542	10101
51	553	10084
52	568	10152
53	583	10226
54	596	10253
55	612	10320
56	630	10425
57	646	10499
58	658	10505
59	664	10416
60	673	10370
61	681	10304
62	694	10323
63	697	10195
64	707	10171
65	710	10058
66	714	9952
67	725	9941
68	728	9828
69	735	9767
70	741	9704
71	746	9624
72	752	9561
73	757	9476
74	765	9443
75	770	9371
76	773	9270
77	779	9211
78	782	9125
79	787	9059
80	790	8963
81	796	8913
82	801	8859
83	805	8779
84	807	8696
85	817	8688
86	820	8605
87	826	8568
88	834	8542
89	836	8458
90	840	8392
91	848	8370
92	852	8318
93	861	8308
94	867	8265
95	870	8198
96	879	8187
97	883	8132
98	891	8109
99	894	8051
100	897	7992
101	904	7961
102	908	7908
103	910	7847
104	914	7795
105	922	7778
106	927	7737
107	929	7680
108	936	7658
109	942	7626
110	946	7578
111	950	7538
112	955	7503
113	959	7460
114	968	7449
115	973	7419
116	976	7367
117	990	7401
118	1000	7409
119	1006	7377
120	1009	7330
121	1021	7354
122	1026	7316
123	1034	7305
124	1039	7274
125	1045	7255
126	1048	7207
127	1053	7178
128	1056	7131
129	1065	7130
130	1068	7086
131	1077	7082
132	1082	7053
133	1085	7014
134	1094	7015
135	1099	6983
136	1104	6955
137	1110	6935
138	1113	6899
139	1116	6858
140	1123	6847
141	1127	6814
142	1131	6778
143	1138	6766
144	1144	6746
145	1147	6710
146	1152	6688
147	1157	6665
148	1160	6625
149	1163	6592
150	1169	6573
151	1174	6549
152	1177	6519
153	1181	6492
154	1187	6472
155	1190	6442
156	1194	6411
157	1199	6392
158	1203	6365
159	1205	6331
160	1208	6300
161	1211	6269
162	1216	6247
163	1220	6219
164	1222	6184
165	1225	6157
166	1230	6137
167	1233	6110
168	1237	6082
169	1240	6056
170	1245	6038
171	1249	6014
172	1252	5989
173	1256	5962
